Comune;Provincia;Nome;Descrizione;Scheda;Immagine;Descrizione immagine;Sottofamiglia;Indirizzo;Localita;Redazione locale;Data di esportazione;Latitudine;Longitudine
BETTOLA;PIACENZA;TORRE FARNESE;E' uno dei tanti edifici fortificati nei dintorni di Bettola: seguono la tipologia della casa - torre e documentano la fase della dominazione dei Nicelli in continua lotta con la Famiglia dei Camia. Nel 1540 il Papa Paolo III Farnese fece costruire...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6168&category_id=229&Itemid=234&lang=it;http://turismo.provincia.piacenza.it/images/stories/scopri-territorio/torrefarnesebett.jpg;TORRE FARNESE;CASTELLI, TORRI, CAMPANILI;loc Bramaiano, - Bettola (PC);;Piacenza;42184;44.772984;9.634223
BOBBIO;PIACENZA;ABBAZIA DI SAN COLOMBANO;Il monastero di San Colombano si trova al centro del tessuto Urbano. La sua costruzione cominciò verso la fine del IX secolo, quando l'abate Agilulfo (883-96) prese la decisione di trasportare in basso l'intero complesso cenobitico. Attorno alla...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6153&category_id=238&Itemid=225&lang=it;http://turismo.provincia.piacenza.it/images/stories/scopri-territorio/arte-cultura/abbazias.colombanobob.jpg;ABBAZIA DI SAN COLOMBANO;ABBAZIE, MONASTERI, SANTUARI;piazza Santa Fara, 29022 - Bobbio (PC);;Piacenza;42184;44.850438;9.864585
BOBBIO;PIACENZA;BOBBIO;La zona di Bobbio era già abitata nell'Età della pietra e venne successivamente popolata da insediamenti liguri. Ai liguri subentrarono i Galli e poco dopo Bobbio entrò definitivamente nell'orbita Romana. Il nome della città deriva dal torrente...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6389&category_id=232&Itemid=231&lang=it;http://turismo.provincia.piacenza.it/images/stories/scopri-territorio/arte-cultura/borgobobbio.jpg;BOBBIO;BORGHI;Bobbio (PC);;Piacenza;42184;;
BOBBIO;PIACENZA;CASTELLO MALASPINA;Il Castello Malaspina si trova sull'altura che sovrasta Bobbio, in una zona ricca di memorie storiche. Al di sopra vi era il primitivo insediamento ligure-celtico romano e proprio dove ora è il castello sorgeva la Basilica di S.Petri. Costruito nel...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6155&category_id=229&Itemid=234&lang=it;http://turismo.provincia.piacenza.it/images/stories/scopri-territorio/arte-cultura/castellomalaspinabob.jpg;CASTELLO MALASPINA;CASTELLI, TORRI, CAMPANILI;via del torrino, 29022 - Bobbio (PC);;Piacenza;42184;44.767996;9.382393
BOBBIO;PIACENZA;CHIESA DI SAN LORENZO;La prima notizia relativa alla chiesa risale al 1144, ma è ignoto il costruttore, verso la fine del XIII secolo è amministrata da una confraternitalaicale detta dei Battuti o Disciplinati, inizialmente essa dipendeva dal Monastero di S.Colombano e...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6156&category_id=237&Itemid=226&lang=it;http://turismo.provincia.piacenza.it/images/stories/scopri-territorio/arte-cultura/chiesas.lorenzobob.jpg;CHIESA DI SAN LORENZO;CHIESE, PIEVI, BATTISTERI;Contrada di San Lorenzo, 29022 - Bobbio (PC);;Piacenza;42184;44.76832;9.385714
BOBBIO;PIACENZA;LA CATTEDRALE DI SANTA MARIA ASSUNTA;La primitiva struttura risale al 1075 ma la facciata come la vediamo oggi fu modificata nel 1463. Le due maestose torri sono originali solo nella loro parte inferiore. Quella di destra fu modificata nel 1532 dal Comune che vi costruì la cella...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6159&category_id=237&Itemid=226&lang=it;http://turismo.provincia.piacenza.it/images/stories/scopri-territorio/arte-cultura/s.mariaassuntabobb.jpg;LA CATTEDRALE DI SANTA MARIA ASSUNTA;CHIESE, PIEVI, BATTISTERI;piazza Duomo - Bobbio (PC);;Piacenza;42184;44.770464;9.386186
BOBBIO;PIACENZA;MOSAICO;Il mosaico è raggiungibile attraverso due rampe di scale situate ai lati della cappella maggiore della Basilica di San Colombano che permettono di scendere ad un piano ambulacro a mt 2,40 al di sotto del livello del pavimento superiore. Dietro...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6367&category_id=222&Itemid=241&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;MOSAICO;OPERE ARTISTICHE;Basilica San Colombano, 29022 - Bobbio (PC);;Piacenza;42184;44.767897;9.385247
BOBBIO;PIACENZA;MUSEO DELL'ABBAZIA DI S.COLOMBANO;Dedicato alla figura del santo irlandese Colombano, cui si deve una vasta opera di evangelizzazione dell'Europa, il museo offre numerose testimonianze storiche, artistiche, archeologiche comprese fra l'età romana, e quindi collegabili alle più...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6285&category_id=239&Itemid=224&lang=it;http://turismo.provincia.piacenza.it/images/stories/scopri-territorio/arte-cultura/museoscolombbobbio.jpg;MUSEO DELL'ABBAZIA DI S.COLOMBANO;MUSEI, GALLERIE;p.zza S.Fara, 5 - Bobbio (PC);;Piacenza;42184;44.767783;9.385789
BOBBIO;PIACENZA;MUSEO DELLA CITTA';Questo museo situato nei locali dell'ex refettorio e lavamani del Monastero di San Colombano, si propone come un percorso didattico introduttivo alle altre istituzioni museali e alla città intera. Le diverse sezioni affrontano la tematiche legate...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6158&category_id=239&Itemid=224&lang=it;http://turismo.provincia.piacenza.it/images/stories/scopri-territorio/arte-cultura/museobobbio.jpg;MUSEO DELLA CITTA';MUSEI, GALLERIE;Abbazia di San Colombano, 29022 - Bobbio (PC);;Piacenza;42184;;
BOBBIO;PIACENZA;MUSEO ETNOGRAFICO VAL TREBBIA;Il museo trova la sua collocazione in antiche dimore d'architettura contadina tipica della zona dell'appennino Piacentino. Il percorso espositivo offre l'occasione di accostarsi ai mestieri e ai modi di praticarli.;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6157&category_id=239&Itemid=224&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;MUSEO ETNOGRAFICO VAL TREBBIA;MUSEI, GALLERIE;loc. Callegari di Cassolo - Bobbio (PC);;Piacenza;42184;;
BOBBIO;PIACENZA;"PONTE VECCHIO O ""GOBBO""";Non è facile stabilire l'epoca della prima costruzione del ponte vecchio che collega Bobbio con la sponda destra del fiume Trebbia, anche se no mancherebbero argomenti per ritenerlo precolombiano. Infatti diverse attività già si svolgevano su...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6366&category_id=227&Itemid=236&lang=it;http://turismo.provincia.piacenza.it/images/stories/scopri-territorio/arte-cultura/pontegobbobob.jpg;"PONTE VECCHIO O ""GOBBO""";FONTANE, PONTI, CANALI;Bobbio (PC);;Piacenza;42184;44.76722;9.390938
BOBBIO;PIACENZA;SANTUARIO DELLA MADONNA DELL'AIUTO;Fuori porta nuova si erge il seicentesco Santuario della Madonna dell'Aiuto, costruito, si dice, per custodire un'immagine della Madonna ritenuta miracolosa. L'edificio si presenta ad una sola navata con cappelle laterali sui due fianchi., gli...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6160&category_id=237&Itemid=226&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;SANTUARIO DELLA MADONNA DELL'AIUTO;CHIESE, PIEVI, BATTISTERI;via Garibaldi, 29022 - Bobbio (PC);;Piacenza;42184;44.770464;9.386186
BORGONOVO VAL TIDONE;PIACENZA;CASTELLO DI CASTELNOVO;Fortilizio eretto sui resti di un castello precedente (da qui il nome), ospitò nel 1155 Federico Barbarossa. Venne distrutto e ricostruito più volte a causa di battaglie e assedi. Fu sottoposto a imponenti lavori di restauro a fine '800. Il...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6347&category_id=229&Itemid=234&lang=it;http://turismo.provincia.piacenza.it/images/stories/scopri-territorio/arte-cultura/castellocastelnuovovt.jpg;CASTELLO DI CASTELNOVO;CASTELLI, TORRI, CAMPANILI;loc. Castelnovo, 29011 - Borgonovo Val Tidone (PC);;Piacenza;42184;44.988285;9.440594
BORGONOVO VAL TIDONE;PIACENZA;COLLEGIATA DI S.MARIA ASSUNTA;Di chiaro gusto gotico-lombardo degli inizi del XV secolo, si presenta interamente in mattoni a vista con una facciata coronata da tre cuspidi e portale centrale lunettato. L'interno è a tre navate, ripartite da grandi colonne che sostengono archi...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6142&category_id=237&Itemid=226&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;COLLEGIATA DI S.MARIA ASSUNTA;CHIESE, PIEVI, BATTISTERI;via Cavallotti, 14 - Borgonovo Val Tidone (PC);;Piacenza;42184;45.015988;9.445865
BORGONOVO VAL TIDONE;PIACENZA;ROCCA DI BORGONOVO;Pur risalente al secolo XIII, non conserva le forme originarie (venne, infatti, distrutta e ricostruita più volte) ed attualmente è a pianta rettangolare con due sole torri angolari quadrate ed elementi architettonici dei secoli XIV e XV (cornice...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6141&category_id=229&Itemid=234&lang=it;http://turismo.provincia.piacenza.it/images/stories/scopri-territorio/arte-cultura/roccadiborgonovo.jpg;ROCCA DI BORGONOVO;CASTELLI, TORRI, CAMPANILI;Piazza Garibaldi, 18 - Borgonovo Val Tidone (PC);;Piacenza;42184;45.0179;9.447423
CALENDASCO;PIACENZA;HOSPITALE E ROMITORIO DI S.CORRADO;Antico hospitale dei pellegrini della Via Francigena. Nel XIV secolo ospitò S.Corrado Confalonieri, Santo piacentino. Visita gratuita della casa e della cripta longobarda previo accordo. Servizi offerti: visita con guida, su richiesta depliant...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6122&category_id=230&Itemid=233&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;HOSPITALE E ROMITORIO DI S.CORRADO;VILLE , DIMORE, TEATRI STORICI;via Mazzini, 13 - Calendasco (PC);;Piacenza;42184;45.08793;9.594087
CAMINATA;PIACENZA;"MUSEO ETNOGRAFICO ""ALDOGRECO BERGAMASCHI""";"Sistemata in alcuni locali al primo piano del Municipio, la collezione nacque negli anni sessanta, grazie alla passione dell'avvocato di origine milanese. Il museo, inaugurato a marzo 2009, è suddiviso in varie sezioni: ""Sezione Comunità"": oggetti...";http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6342&category_id=239&Itemid=224&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;"MUSEO ETNOGRAFICO ""ALDOGRECO BERGAMASCHI""";MUSEI, GALLERIE;Via Vittorio Emanuele, 33 29010 - Caminata (PC);;Piacenza;42184;44.909445;9.310121
CAORSO;PIACENZA;CHIESA DI S. MARIA ASSUNTA;Pur in parte ricostruita nel XX secolo in stile neogotico, la chiesa ha origini medioevali. Al suo interno si trovano un prezioso organo della fine del Settecento, resti di affreschi del XV di cultura lombarda con influssi cremonesi raffiguranti sui...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6135&category_id=237&Itemid=226&lang=it;http://turismo.provincia.piacenza.it/images/stories/scopri-territorio/arte-cultura/s.mariaassuntacao.jpg;CHIESA DI S. MARIA ASSUNTA;CHIESE, PIEVI, BATTISTERI;p.zza IX Febbraio - Caorso (PC);;Piacenza;42184;45.049787;9.876785
CAORSO;PIACENZA;ROCCA MANDELLI;Edificata nel 1205 come avamposto difensivo verso Cremona, feudo dei Mandelli nel 1383, venne trasformata in in palazzo nel '700, quindi in parte ripristinata nel 1900-14 su disegno dell'architetto Enrico Rossi. La struttura è possente: ha pianta...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6134&category_id=229&Itemid=234&lang=it;http://turismo.provincia.piacenza.it/images/stories/scopri-territorio/roccamandellicao.jpg;ROCCA MANDELLI;CASTELLI, TORRI, CAMPANILI;p.zza Rocca, 1 - Caorso (PC);;Piacenza;42184;;
CARPANETO PIACENTINO;PIACENZA;CASTELLO DI CELLERI;Nelle cronache piacentine il castello di Celleri è ricordato come uno dei tanti fortilizi in cui si rifugiavano i Guelfi quando venivano cacciati dalla città dalla parte avversa. Nell'Ottocento l'antico fortilizio subì radicali modifiche, per...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6208&category_id=229&Itemid=234&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;CASTELLO DI CELLERI;CASTELLI, TORRI, CAMPANILI;Loc. Celleri di Carpaneto - Carpaneto Piacentino (PC);;Piacenza;42184;44.834554;9.735367
CARPANETO PIACENTINO;PIACENZA;CASTELLO DI CERRETO LANDI;Le prime notizie risalgono al 1385. La struttura architettonica del fortilizio, a pianta quadrata, dotato di ponte levatoio, conferma la sua funzione di controlllo di un' interessante rete di comunicazioni che collegava la collina piacentina alla...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6210&category_id=229&Itemid=234&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;CASTELLO DI CERRETO LANDI;CASTELLI, TORRI, CAMPANILI;loc. Cerreto Landi di Carpaneto, - Carpaneto Piacentino (PC);;Piacenza;42184;44.834554;9.735367
CARPANETO PIACENTINO;PIACENZA;CASTELLO DI CIRIANO;Fra i documenti d'archivio relativi all'edificio, riveste particolare interesse il rogito datato 1445, in cui il notaio Daniele Soprano, nominato arbitro nella causa di divisione dei beni già appartenuti al defunto Giovanni Bracciaforti, assegnava...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6205&category_id=229&Itemid=234&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;CASTELLO DI CIRIANO;CASTELLI, TORRI, CAMPANILI;loc. Ciriano di Carpaneto, - Carpaneto Piacentino (PC);;Piacenza;42184;;
CARPANETO PIACENTINO;PIACENZA;CASTELLO DI MAGNANO;L'originale complesso castrense, a pianta trapezioidale irregolare, a causa della natura accidentata della sommità della collina su cui sorge, è realizzato inpietra. L'edificio residenziale risulta addossato alle mura, un tratto della quali è...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6204&category_id=229&Itemid=234&lang=it;http://turismo.provincia.piacenza.it/images/stories/scopri-territorio/arte-cultura/castellodimagnano.jpg;CASTELLO DI MAGNANO;CASTELLI, TORRI, CAMPANILI;Loc. Magnano di Carpaneto, 29013 - Carpaneto Piacentino (PC);;Piacenza;42184;;
CARPANETO PIACENTINO;PIACENZA;CASTELLO DI MASANA;Sull'edificio si ricorda un aneddoto relativo al Vescovo di Piacenza Mons. Antonio Ranza, il quale nel Maggio 1860 si era ritirato nel castello di Travazzano per non essere costretto a celebrare solenni riti religiosi in occasione della visita di...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6206&category_id=229&Itemid=234&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;CASTELLO DI MASANA;CASTELLI, TORRI, CAMPANILI;Loc. Masana di Carpaneto - Carpaneto Piacentino (PC);;Piacenza;42184;;
CARPANETO PIACENTINO;PIACENZA;CASTELLO DI REZZANO;Il castello, attorno al Mille, apparteneva al Vescovo di Piacenza, Sigifredo, che lo donò all'abate di San Savino. Ultimamente l'edificio, adibito in parte ad abitazione privata, e in parte a rustico agricolo, è stato sottoposto a tutela e...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6209&category_id=229&Itemid=234&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;CASTELLO DI REZZANO;CASTELLI, TORRI, CAMPANILI;loc. Rezzano di Carpaneto, - Carpaneto Piacentino (PC);;Piacenza;42184;44.834554;9.735367
CARPANETO PIACENTINO;PIACENZA;CASTELLO DI TRAVAZZANO;Con la denominazione di Trabacianum, il fortilizio si trova citato per la prima volta nel secolo XI, quando rappresentò uno dei rifugi dei nobili fuoriusciti dalla città. Fino ai primi decenni del 1900 Travazzano fu anche residenza estiva del...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6228&category_id=229&Itemid=234&lang=it;http://turismo.provincia.piacenza.it/images/stories/scopri-territorio/arte-cultura/castelloditravazzano.jpg;CASTELLO DI TRAVAZZANO;CASTELLI, TORRI, CAMPANILI;Strada per Magnano - Carpaneto Piacentino (PC);;Piacenza;42184;44.877892;9.794046
CARPANETO PIACENTINO;PIACENZA;CASTELLO DI ZENA;Del castello di Zena non si conosce la data di fondazione. Il fortilizio conserva ancora i caratteri architettonici castrensi dell'impianto che si sviluppa su schema quadrato: uno dei quattro corpi di fabbrica venne demolito, non è noto se per...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6207&category_id=229&Itemid=234&lang=it;http://turismo.provincia.piacenza.it/images/stories/scopri-territorio/arte-cultura/castellodizena.jpg;CASTELLO DI ZENA;CASTELLI, TORRI, CAMPANILI;Strada Provinciale, 80 - Carpaneto Piacentino (PC);;Piacenza;42184;;
CARPANETO PIACENTINO;PIACENZA;CHIESA DI SAN MICHELE ARCANGELO;Sita nella piccola frazione di Montanaro, risale alla fine del 1600 inizi 1700. E' visibile dall'antiporta a vetri.Nei giorni festivi la piccola chiesa è visitabile dalle 10.00 alle 11.00;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6225&category_id=237&Itemid=226&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;CHIESA DI SAN MICHELE ARCANGELO;CHIESE, PIEVI, BATTISTERI;Frazione Montanaro - Carpaneto Piacentino (PC);;Piacenza;42184;44.800017;9.830961
CARPANETO PIACENTINO;PIACENZA;CHIESA DI SAN PROSPERO;La Chiesa risale al secolo XVII - XVIII;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6224&category_id=237&Itemid=226&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;CHIESA DI SAN PROSPERO;CHIESE, PIEVI, BATTISTERI;loc. Zena - Carpaneto Piacentino (PC);;Piacenza;42184;44.800017;9.830961
CARPANETO PIACENTINO;PIACENZA;CHIESA PARROCCHIALE SANTI MARTIRI FERMO E RUSTICO;E' dedicata ai Santi Martiri Fermo e Rustico, ed ha origini molto antiche, precedenti all'anno Mille, come risulta dalle pergamene longobarde conservate nell'archivio della Cattedrale di Piacenza. Da esse risulta che Carpaneto era nel IX secolo...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6203&category_id=237&Itemid=226&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;CHIESA PARROCCHIALE SANTI MARTIRI FERMO E RUSTICO;CHIESE, PIEVI, BATTISTERI;Via Papa Giovanni XXIII, - Carpaneto Piacentino (PC);;Piacenza;42184;44.915414;9.788355
CARPANETO PIACENTINO;PIACENZA;MONUMENTO AI CADUTI;Carpaneto è stato uno dei primi comuni a realizzare il monumento ai caduti in guerra. La progettazione di esso, con il contributo del re Vittorio Emanuele III, fu affidata all'architetto prof. Ottorino Romagnosi. Il monumento venne inaugurato nel...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6384&category_id=223&Itemid=240&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;MONUMENTO AI CADUTI;MONUMENTI ALLA MEMORIA;Viale Vittoria - Carpaneto Piacentino (PC);;Piacenza;42184;;
CARPANETO PIACENTINO;PIACENZA;PALAZZO SCOTTI;Imponente costruzione che sorge al centro del paese, a fianco della chiesa. Anticamente era un robusto castello, sorto forse su un antico castrum romano. Nei primi secoli dopo l'anno mille, viene distrutto e ricostruito diverse volte, nel 1500 era...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6202&category_id=230&Itemid=233&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;PALAZZO SCOTTI;VILLE , DIMORE, TEATRI STORICI;Piazza XX Settembre, 1 - Carpaneto Piacentino (PC);;Piacenza;42184;;
