Comune;Provincia;Nome;Descrizione;Scheda;Immagine;Descrizione immagine;Sottofamiglia;Indirizzo;Localita;Redazione locale;Data di esportazione;Latitudine;Longitudine
BOBBIO;PIACENZA;ALBERGO RISTORANTE GIARDINO;Il locale offre cucina genuina anche tipica bobbiese, pasta fresca fatta a mano, secondi piatti della tradizione (bolliti e arrosti misti, stinco, ecc.) oltre a torte fatte a mano. Ambiente ospitale e confortevole. Altitudine 278 mt.;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=5167&category_id=284&Itemid=283&lang=it;http://turismo.provincia.piacenza.it/images/stories/mangiare/alberg-ristora/ristalbgiardino.jpg;ALBERGO RISTORANTE GIARDINO;RISTORANTI, PIZZERIE, AGRITURISMI;piazza San Francesco 12 - Bobbio (PC);;Piacenza;42184;;
BOBBIO;PIACENZA;I CICLAMINI;Situato in antico casale, parte dell'antico monastero di S. Paolo (VIII sec). Immerso nel verde ma nel cuore del paese di Mezzano Scotti. Situato sulla Strada del Mulino.Altitudine: 250 m.;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=7811&category_id=386&Itemid=378&lang=it;http://turismo.provincia.piacenza.it/images/stories/dormire/i ciclamini.jpg;I CICLAMINI;RISTORANTI, PIZZERIE, AGRITURISMI;Via Caracciolo, 6 - Bobbio (PC);;Piacenza;42184;;
BORGONOVO VAL TIDONE;PIACENZA;AGRITURISMO VILLA PARADISO;Situato sulla prima collina, l'agriturismo è dotato di piscina relax, laghetto, giochi per grandi e bambini, sala riunioni, sala banchetti, giardino e parco per foto. Altitudine circa 200 mt. Prezzo medio Euro 35,00/70,00 a persona.;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=8826&category_id=386&Itemid=378&lang=it;http://turismo.provincia.piacenza.it/images/stories/dormire/agriturismibb/villa paradiso.jpg;AGRITURISMO VILLA PARADISO;RISTORANTI, PIZZERIE, AGRITURISMI;Via Chignoli 143 - Borgonovo Val Tidone (PC);;Piacenza;42184;45.015977;9.446509
BORGONOVO VAL TIDONE;PIACENZA;"AZIENDA AGRITURISTICA ""IL CORNIOLO""";Piccola azienda vitivinicola - agrituristica di conduzione famigliare sulle prime colline piacentine, adatta a chi vuole sentire i sapori di una volta. Prezzo indicativo medio: Euro 35,00.;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=4683&category_id=386&Itemid=378&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;"AZIENDA AGRITURISTICA ""IL CORNIOLO""";RISTORANTI, PIZZERIE, AGRITURISMI;Frazione Castelnovo V.T., 287 - Borgonovo Val Tidone (PC);;Piacenza;42184;44.732895;9.730764
BORGONOVO VAL TIDONE;PIACENZA;RISTORANTE LE PROPOSTE;Ristorante situato sulle colline di Borgonovo Val Tidone. Rustico elegante con vista panoramica.;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=4794&category_id=284&Itemid=283&lang=it;http://turismo.provincia.piacenza.it/images/stories/mangiare/ristoranti/ristleproposte.jpg;RISTORANTE LE PROPOSTE;RISTORANTI, PIZZERIE, AGRITURISMI;Frazione Corano - Borgonovo Val Tidone (PC);;Piacenza;42184;44.971396;9.407165
BORGONOVO VAL TIDONE;PIACENZA;SETTIMO CIELO;Ristorante e pizzeria, con forno a legna, propone cucina tradizionale con qualche innovazione. Ogni venerdì d'estate musica dal vivo, ogni lunedì gara di scopa d'assi.Menù a prezzo fisso 8,00 Euro bevande escluse. Nelle cene di compleanno il...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=4792&category_id=387&Itemid=377&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;SETTIMO CIELO;RISTORANTI, PIZZERIE, AGRITURISMI;Via G. Galilei, 2, 29011 - Borgonovo Val Tidone (PC);;Piacenza;42184;45.008862;9.447485
CADEO;PIACENZA;ANTICA OSTERIA DELLA PESA;Nel contesto del Relais Cascina Scottina, un punto di riferimento per la ristorazione di alto livello con possibilità di organizzare ricevimenti sia all'interno, sia all'esterno della struttura.Per rendere onore alla celebrata tradizione piacentina...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=4776&category_id=284&Itemid=283&lang=it;http://turismo.provincia.piacenza.it/images/stories/mangiare/ristoranti/rist_osteriadella-pesa.jpg;ANTICA OSTERIA DELLA PESA;RISTORANTI, PIZZERIE, AGRITURISMI;Strada del Riglio, 29010 - Cadeo (PC);;Piacenza;42184;44.994361;9.81966
CADEO;PIACENZA;DA ROMANO;Bar, Pizzeria, Ristorante e bottega con prodotti tipici.;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=8856&category_id=284&Itemid=283&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;DA ROMANO;RISTORANTI, PIZZERIE, AGRITURISMI;Via Emilia, 71/77 - Cadeo (PC);;Piacenza;42184;44.974187;9.831476
CADEO;PIACENZA;RISTORANTE CARINI;Il locale a conduzione famigliare offre cucina casalinga con varianti a richiesta o a fantasia dello chef. La gestione vanta ben 45 anni di longevità.;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=5092&category_id=284&Itemid=283&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;RISTORANTE CARINI;RISTORANTI, PIZZERIE, AGRITURISMI;Via Emilia 91, 29010 - Cadeo (PC);;Piacenza;42184;44.965633;9.851282
CADEO;PIACENZA;RISTORANTE LANTERNA ROSSA;Locale collocato nel centro del paese di Saliceto di Cadeo, con dehors estivo e tre sale accoglienti arredate in marmo e legno riscaldate, durante l'inverno, da camini. Saliceto è il paese nativo di Luigia Uttini, madre di Giuseppe Verdi. Per i...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=5158&category_id=284&Itemid=283&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;RISTORANTE LANTERNA ROSSA;RISTORANTI, PIZZERIE, AGRITURISMI;Strada Comunale del Ponte, 8 - Cadeo (PC);;Piacenza;42184;44.993491;9.862706
CADEO;PIACENZA;RISTORANTE LE RUOTE;In posizione comoda, lungo la via Emilia, permette l'accesso alle principali località di interesse turistico in 20 minuti. Adiacente struttura ricettiva e centro conferenze. Specialità: piatti con prodotti D.O.P. della tradizione...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=4657&category_id=284&Itemid=283&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;RISTORANTE LE RUOTE;RISTORANTI, PIZZERIE, AGRITURISMI;Via Emilia, 204 - Cadeo (PC);;Piacenza;42184;44.962894;9.85568
CADEO;PIACENZA;"TRATTORIA NUOVA ""DA PINUCCIO""";Trattoria a conduzione famigliare che propone piatti tipici piacentini e carni grigliate.;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=4770&category_id=284&Itemid=283&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;"TRATTORIA NUOVA ""DA PINUCCIO""";RISTORANTI, PIZZERIE, AGRITURISMI;Via Emilia, 25, 29010 - Cadeo (PC);;Piacenza;42184;44.974805;9.831123
CALENDASCO;PIACENZA;CIRCOLO I TEMPLARI;Circolo ricreativo-culturale costruito in una partizione dell'Ospitale eretto dai Confalonieri nel XIII Secolo. Necessario il tesseramento. Prezzo medio: 25,00 Euro;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=7913&category_id=284&Itemid=283&lang=it;http://turismo.provincia.piacenza.it/images/stories/mangiare/ristoranti/i templari.jpg;CIRCOLO I TEMPLARI;RISTORANTI, PIZZERIE, AGRITURISMI;Via Mazzini,11 - Calendasco (PC);;Piacenza;42184;44.755282;9.757726
CALENDASCO;PIACENZA;RISTORANTE LE TRE CORONE;Ristorante e bar con sale interne e giardini. Prezzo medio: Euro 15,00 (pasto completo).;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=8328&category_id=284&Itemid=283&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;RISTORANTE LE TRE CORONE;RISTORANTI, PIZZERIE, AGRITURISMI;Via Mazzini 59 - Calendasco (PC);;Piacenza;42184;;
CALENDASCO;PIACENZA;RISTORANTE- PIZZERIA SAMMY;;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=7898&category_id=387&Itemid=377&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;RISTORANTE- PIZZERIA SAMMY;RISTORANTI, PIZZERIE, AGRITURISMI;Località Cotrebbia Nuova , 12 - Calendasco (PC);;Piacenza;42184;45.072735;9.62915
CALENDASCO;PIACENZA;TRATTORIA DEI PESCATORI;Cucina tipica piacentina e pesce di mare. Prezzo medio 35/40 Euro.;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=4823&category_id=284&Itemid=283&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;TRATTORIA DEI PESCATORI;RISTORANTI, PIZZERIE, AGRITURISMI;Località Malpaga, 21, 29010 - Calendasco (PC);;Piacenza;42184;45.068946;9.637784
CASTELL'ARQUATO;PIACENZA;AGRITURISMO TENUTA GIAROLA;Struttura tipica del paesaggio rurale, completamente ristrutturata e immersa nel verde. Menù della tradizione piacentina (salumi piacentini, arrosti, oca al forno su prenotazione).;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=8860&category_id=386&Itemid=378&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;AGRITURISMO TENUTA GIAROLA;RISTORANTI, PIZZERIE, AGRITURISMI;Località Giarola Frazione Vigostano - Castell'Arquato (PC);;Piacenza;42184;44.893946;9.844343
CASTELL'ARQUATO;PIACENZA;ANTICA TRATTORIA DI VIGOSTANO;Cucina tipica locale e alternativa.Prezzo medio, bevande escluse: 20,00 -30,00 ?;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=7409&category_id=284&Itemid=283&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;ANTICA TRATTORIA DI VIGOSTANO;RISTORANTI, PIZZERIE, AGRITURISMI;Località Vigostano - Castell'Arquato (PC);;Piacenza;42184;44.890631;9.845681
CASTELL'ARQUATO;PIACENZA;ANTICA TRATTORIA SAN LORENZO;Cucina Tipica e nazionale.Prezzo medio: dai 15,00 ai 20,00 Euro;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=7262&category_id=284&Itemid=283&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;ANTICA TRATTORIA SAN LORENZO;RISTORANTI, PIZZERIE, AGRITURISMI;via Canale, 32 - Castell'Arquato (PC);;Piacenza;42184;44.862266;9.876624
CASTELL'ARQUATO;PIACENZA;ENOTECA COMUNALE;Wine bar e degustazione di salumi e formaggi tipici piacentiniPrezzo medio, bevande incluse: Euro 20,00;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=7414&category_id=283&Itemid=284&lang=it;http://turismo.provincia.piacenza.it/images/stories/mangiare/bar-varie/interno rid.jpg;ENOTECA COMUNALE;ENOTECHE, OSTERIE, VINERIE;Palazzo del Podestà, Piazza Municipio, 2/A - Castell'Arquato (PC);;Piacenza;42184;;
CASTELL'ARQUATO;PIACENZA;ENOTURISMO CARDINALI SORSI DI NATURA;Percorrendo una stradina panoramica non asfaltata di meno di un km dal centro abitato, si arriva nel cuore del vigneto condotto dalla famiglia Cardinali con passione dal 1973. Ad accogliervi troverete un membro della famiglia, i nostri cani e le...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=8244&category_id=283&Itemid=284&lang=it;http://turismo.provincia.piacenza.it/images/stories/mangiare/agriturismo/enoturismo cardinali.jpg;ENOTURISMO CARDINALI SORSI DI NATURA;ENOTECHE, OSTERIE, VINERIE;Vigneto Montepascolo - Castell'Arquato (PC);;Piacenza;42184;44.857146;9.862293
CASTELL'ARQUATO;PIACENZA;LA BUCA;Cantina vitivinicola. produzione e vendita vini e passiti DOC colli piacentini. Degustazioni. Pranzi e cene su prenotazione Specialità: Pisarei e fasò, tortelli di ricotta, anolini in brodo di terza, cacciagione, dolci. Prezzo medio: 25,00 ?;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=8589&category_id=283&Itemid=284&lang=it;http://turismo.provincia.piacenza.it/images/stories/mangiare/agriturismo/enoturismo cardinali.jpg;LA BUCA;ENOTECHE, OSTERIE, VINERIE;Località Costa Negri n° 11 - Castell'Arquato (PC);;Piacenza;42184;44.863566;9.850019
CASTELL'ARQUATO;PIACENZA;LA CANTINACCIA;Locale in stile, cucina tipica e anche creativa Specialità: fave del nonno, risotti, paste artigianali, carni e funghiPrezzo medio: 25,00 -30,00 ?;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=7408&category_id=284&Itemid=283&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;LA CANTINACCIA;RISTORANTI, PIZZERIE, AGRITURISMI;Località Costamuccia - Castell'Arquato (PC);;Piacenza;42184;44.850289;9.876437
CASTELL'ARQUATO;PIACENZA;MAPS;Ristorante ricavato all'interno di un vecchio mulino Specilaità: carne e pescePrezzo medio, bevande escluse: 35 -45 ?;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=7404&category_id=284&Itemid=283&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;MAPS;RISTORANTI, PIZZERIE, AGRITURISMI;Piazza Europa 3 - Castell'Arquato (PC);;Piacenza;42184;44.852553;9.870014
CASTELL'ARQUATO;PIACENZA;RISTORANTE DA FACCINI;Locale sorto nel 1932, a conduzione familiare. Annessa, la bottega storica dove poter acquistare formaggi e salumi D.O.P.Specialità: salume con bortellina (schiacciata tipica locale), primi fatti a mano, arrosti con patate al forno, dolci fatti...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=7413&category_id=284&Itemid=283&lang=it;http://turismo.provincia.piacenza.it/images/stories/faccini ristorante.jpg;RISTORANTE DA FACCINI;RISTORANTI, PIZZERIE, AGRITURISMI;Località Sant'Antonio - Castell'Arquato (PC);;Piacenza;42184;44.878407;9.872746
CASTELL'ARQUATO;PIACENZA;RISTORANTE ENOTECA DEL BORGO;Enoteca Ristorante in ambiente caratteristico, in palazzo del XIV secolo nel Borgo Storico, ambiente rustico ma raccolto, intimo, accogliente. Vista sul borgo. Organizziamo serate a tema (esempio: cena di pesce, cene orientali)Specialità: fantasia...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=7875&category_id=284&Itemid=283&lang=it;http://turismo.provincia.piacenza.it/images/stories/mangiare/ristoranti/enoteca del borgo castellarquato 2.jpg;RISTORANTE ENOTECA DEL BORGO;RISTORANTI, PIZZERIE, AGRITURISMI;Vicolo Riorzo 1/3 - Castell'Arquato (PC);;Piacenza;42184;44.85342;9.868727
CASTELL'ARQUATO;PIACENZA;RISTORANTE LA ROCCA DA FRANCO;Ristorante a conduzione famigliare situato in centro storico con splendida vista sulla valle. Specialità: salumi tipici di nostra stagionatura, caramelle di ricotta e spinaci al burro e salvia, noce di vitello al cartoccio, semifreddi (amaretto,...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=7405&category_id=284&Itemid=283&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;RISTORANTE LA ROCCA DA FRANCO;RISTORANTI, PIZZERIE, AGRITURISMI;Piazza Municipio - Castell'Arquato (PC);;Piacenza;42184;44.851077;9.867783
CASTELL'ARQUATO;PIACENZA;RISTORANTE LIDO;"Ristorante con giardino all'aperto per grigliate; li locale è anche provvisto di un piccolo centro sportivo (piscina, calcetto, tennis, beach volley). Prezzo indicativo medio Euro 25.00-30.00.";http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=4610&category_id=284&Itemid=283&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;RISTORANTE LIDO;RISTORANTI, PIZZERIE, AGRITURISMI;Via Provinciale, 15 - Castell'Arquato (PC);;Piacenza;42184;44.856628;9.874198
CASTELL'ARQUATO;PIACENZA;RISTORANTE NONA BUCA;Cucina tipica piacentina. Possibilità di pernottamento nella Foresteria.Location all'interno del campo da golf, suggestiva per banchetti, ricevimenti e ogni tipo di evento. Vista panoramica.Prezzo medio di un menù, bevande escluse: 20,00 ?-...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=7367&category_id=284&Itemid=283&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;RISTORANTE NONA BUCA;RISTORANTI, PIZZERIE, AGRITURISMI;Località Borlacca, 1 - Castell'Arquato (PC);;Piacenza;42184;44.869983;9.922543
CASTELL'ARQUATO;PIACENZA;RISTORANTE PIZZERIA ANNA;Pizza e cucina tipica campana. Specialità pescePrezzo medio, bevande escluse: 20,00 - 25,00 ?;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=7412&category_id=387&Itemid=377&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;RISTORANTE PIZZERIA ANNA;RISTORANTI, PIZZERIE, AGRITURISMI;Via Cavour 1 - Castell'Arquato (PC);;Piacenza;42184;44.879274;9.841819
CASTELL'ARQUATO;PIACENZA;RISTORANTE PIZZERIA CROCETTA;Ristorante di cucina tipica piacentina a conduzione famigliarePrezzo medio: EURO 25,00 menù fisso turistico euro 11,00 dal lunedì al venerdì;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=7265&category_id=284&Itemid=283&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;RISTORANTE PIZZERIA CROCETTA;RISTORANTI, PIZZERIE, AGRITURISMI;via Crocetta 26 - Castell'Arquato (PC);;Piacenza;42184;44.850423;9.876022
CASTELL'ARQUATO;PIACENZA;RISTORANTE PRIMAVERA;Cucina tipica piacentinaPrezzo medio: 26,00 ?;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=7410&category_id=284&Itemid=283&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;RISTORANTE PRIMAVERA;RISTORANTI, PIZZERIE, AGRITURISMI;Via Mori 22 - Castell'Arquato (PC);;Piacenza;42184;44.841995;9.900398
CASTELL'ARQUATO;PIACENZA;RISTORANTE STRADIVARIUS;Ristorante di cucina tipica Piacentina, situato all'interno del castello StradivariSpecialità: batalabar, tagliolini di castagne allo speck, faraona disossata farcita, stinchetto di maiale alla medievale.Prezzo medio: 25,00 Euro;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=7266&category_id=284&Itemid=283&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;RISTORANTE STRADIVARIUS;RISTORANTI, PIZZERIE, AGRITURISMI;Via Sforza Caolzio 36 - Castell'Arquato (PC);;Piacenza;42184;44.85234;9.867954
CASTELL'ARQUATO;PIACENZA;RISTORANTE TRATTORIA DEL VOLTONE;Locale a conduzione famigliare, con cucina piacentina e ampia scelta di vini situato nel centro storico di Castell'Arquato.Prezzo medio: 35,00 ?;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=7401&category_id=284&Itemid=283&lang=it;http://turismo.provincia.piacenza.it/images/stories/mangiare/ristoranti/trattoria del voltone.jpg;RISTORANTE TRATTORIA DEL VOLTONE;RISTORANTI, PIZZERIE, AGRITURISMI;Via Sforza Caolzio 159 - Castell'Arquato (PC);;Piacenza;42184;44.853146;9.868898
CASTELL'ARQUATO;PIACENZA;RISTORNATE ENOTECA DON FERDINANDO;Al Don Ferdinando proponiamo i piatti dell'antica tradizione di Piacenza e Parma e i prodotti tipici delle Strade dei Sapori, che acquistiamo direttamente dai produttori. A mezzogiorno serviamo paste fresche e salumi, la sera lo chef propone il suo...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=7403&category_id=284&Itemid=283&lang=it;http://turismo.provincia.piacenza.it/images/stories/mangiare/ristoranti/don ferdinando.jpg;RISTORNATE ENOTECA DON FERDINANDO;RISTORANTI, PIZZERIE, AGRITURISMI;Piazza Europa 6 - Castell'Arquato (PC);;Piacenza;42184;44.852553;9.870014
CASTELL'ARQUATO;PIACENZA;TAVERNA DEL FALCONIERE;Cucina piacentina e piemonteseLocale adatto a cene romantiche e a eventi (matrimoni, comunioni, cresime), con terrazzo estivo e veranda panoramica. Grande taverna per gruppi.;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=7368&category_id=284&Itemid=283&lang=it;http://turismo.provincia.piacenza.it/images/stories/mangiare/ristoranti/il falconiere.jpg;TAVERNA DEL FALCONIERE;RISTORANTI, PIZZERIE, AGRITURISMI;Piazza Municipio, 5 - Castell'Arquato (PC);;Piacenza;42184;44.851062;9.867654
